ID,SOURCE_ID (Owner ou Business Process),TARGET_ID (Owner),TYPE (= “DPND”)
252,ASSET MANAGEMENT HYPERMARCHES,Manager n+1: Maja KWAK,
253,GESTION IMMOBILIERE & GESTION LOCATIVE,Manager n+1: Maja KWAK,
254,AMENAGEMENTS MULTISITES,Manager n+1: Maja KWAK,
255,DATA SYSTEMES INNOVATION,DIRECTION DES OPERATIONS,
256,ASSET MANAGEMENT HYPERS SUD EST,ASSET MANAGEMENT HYPERMARCHES,
257,SERVICE RECOUVREMENT,GESTION IMMOBILIERE & GESTION LOCATIVE,
258,ASSET MANAGEMENT SUPERMARCHES,Manager n+1: Nicolas D ERCEVILLE,
259,EXPLOITATION IMMOBILIERE,DIRECTION DES OPERATIONS,
260,EXPLOITATION IMMOBILIERE SUD EST,EXPLOITATION IMMOBILIERE,
261,ASSET MANAGEMENT HYPER GRAND OUEST,ASSET MANAGEMENT HYPERMARCHES,
262,DIRECTION DES OPERATIONS ET CRD,DIRECTION GENERALE DELEGUEE 2 CARMILA,
263,DIRECTION COMMERCIALISATION CARMILA,DIRECTION GENERALE DELEGUEE 2 CARMILA,
264,DIRECTION COMMERCIALISATION POLE TRANSVERSE,DIRECTION GENERALE DELEGUEE 2 CARMILA,
265,DIRECTION DU DEVELOPPEMENT,DIRECTION STRATEGIE ET IMMOBILIER LOGISTIQUE,
266,SUPPLY CHAIN,DIRECTION STRATEGIE ET IMMOBILIER LOGISTIQUE,
267,DIRECTION MOD,DIRECTION STRATEGIE ET IMMOBILIER LOGISTIQUE,
